District,Area,Year,Max_Temp,Min_Temp,Rainfall,Humidity,Wind,Cloud,Sunshine,ALT,Productions,PPH
2,634460,1969,28.4,14.23333333,10.66666667,73.33333333,0.533333333,1.6,8.866666667,20,280905,0.442746588
3,497290,1969,29.83333,15.66667,11.33333,74.66667,0.933333,2.533333,8.566667,6,319075,0.641627622
4,976420,1969,31.3,17.4,15.66666667,78.33333333,0.2,0.633333333,7.241414141,10,508305,0.520580283
5,765390,1969,29.26666667,14.6,6,71.66666667,0.5,1.866666667,8.9,9,312720,0.40857602
6,888530,1969,28.43333333,13.4,32.66666667,76,0.133333333,0.666666667,6.554666667,37,407065,0.458133096
7,786200,1969,28.16666667,14.6,19.33333333,77.33333333,0.5,1.366666667,7.313793103,9,303645,0.386218519
8,552400,1969,29.33333333,13.46666667,19.66666667,71.33333333,1.066666667,1.7,8.866666667,7,231120,0.418392469
9,1007020,1969,30.96666667,16.7,9.333333333,73,0.2,0.6,7.49,4,437665,0.43461401
11,726660,1969,29.43333333,15.03333333,12,71.33333333,0.066666667,0.8,7.306896552,6,332125,0.457056945
12,567080,1969,28.43333333,13.06666667,15.66666667,75.66666667,0.766666667,1.633333333,7.026436782,14,232810,0.410541723
14,1111420,1969,27.9,13.86666667,34.33333333,70.66666667,0.533333333,1.633333333,7.307619048,20,544415,0.489837325
16,1209490,1969,27.96666667,12.8,22.33333333,83.66666667,0.366666667,1.166666667,7.026666667,34,622025,0.514287014
17,1223850,1969,29.3,14.23333333,34,76.33333333,1.033333333,2.1,8.733333333,35,629510,0.514368591
11,612048,1970,28.43333333,15.86666667,50.33333333,75.66666667,0.2,0.733333333,7.306896552,6,218300,0.356671372
2,658210,1970,29.4,14,7.666666667,75.33333333,0.4,1.166666667,9.566666667,20,350460,0.532444053
3,517235,1970,28.9,16.43333,53.66667,75.66667,0.966667,2.066667,7.9,6,258050,0.49890282
4,965080,1970,29.8,15.76666667,29.33333333,80.66666667,0.466666667,0.766666667,7.241414141,10,452930,0.469318606
5,674300,1970,28.46666667,14.73333333,11.66666667,71.33333333,0.6,1.3,9.033333333,9,266655,0.395454545
6,893380,1970,30.73333333,12.76666667,2.666666667,73.33333333,0.5,0.533333333,6.554666667,37,455405,0.509755087
7,686009,1970,28.33333333,13.83333333,14.66666667,76.66666667,0.6,1.2,7.313793103,9,181385,0.264406152
8,516210,1970,30.43333333,13.23333333,8.666666667,71.33333333,0.933333333,1.366666667,9.5,7,94430,0.182929428
9,927445,1970,30.56666667,15.63333333,4.333333333,75.33333333,0.266666667,0.833333333,7.49,4,255935,0.275957065
12,493655,1970,30.16666667,13.2,4.333333333,74,1.2,1.066666667,7.026436782,14,163220,0.330635768
14,1142560,1970,28.16666667,14.3,8.666666667,72,0.7,1.833333333,7.307619048,20,584540,0.511605517
16,1286790,1970,32.96666667,12.16666667,5.666666667,83,0.566666667,0.5,7.026666667,34,731755,0.568666993
17,1241590,1970,29.16666667,14.5,23,74.33333333,1.666666667,1.766666667,9.033333333,35,645600,0.519978415
2,598645,1971,28.4,13.86666667,14.66666667,71.66666667,0.7,1,9.433333333,20,297250,0.496538015
3,546425,1971,28.46667,16.43333,14.66667,75,1.133333,1.566667,8.233333,6,299685,0.548446722
4,946545,1971,28.6,14.46666667,19.66666667,76.66666667,0.566666667,0.966666667,7.241414141,10,431115,0.455461705
5,682250,1971,29.46666667,14.4,32.66666667,72,0.5,1.3,8.033333333,9,302490,0.443371198
6,792830,1971,29.26666667,12.96666667,1.666666667,74.66666667,0.4,0.766666667,6.554666667,37,285855,0.360550181
7,592870,1971,27.96666667,14.03333333,22.33333333,76,0.4,0.833333333,7.313793103,9,127105,0.214389326
8,574785,1971,28.63333333,18.9,6.333333333,75,0.666666667,1.4,7.4,7,222240,0.386648921
9,761105,1971,31.16666667,15.86666667,3,75.33333333,0.366666667,0.833333333,7.49,4,217995,0.286419088
11,736150,1971,28.43333333,15.26666667,60,77.33333333,0.4,0.966666667,7.306896552,6,281485,0.382374516
12,479555,1971,27.7,13.2,5.666666667,74,0.766666667,1.333333333,7.026436782,14,140690,0.293376151
14,928840,1971,29.63333333,14,32.33333333,75.33333333,0.9,1.1,7.307619048,20,349600,0.376383446
16,1294500,1971,29.2,13.06666667,17.66666667,82.66666667,0.666666667,1.1,7.026666667,34,751570,0.580587099
17,1075590,1971,28.73333333,14.4,31,73,1.066666667,1.966666667,8.666666667,35,497775,0.462792514
2,619855,1972,30,13.86666667,4,72.66666667,0.466666667,0.766666667,9.4,20,265960,0.429068089
3,569045,1972,32.3,16.66667,1.666667,74.33333,1.2,1.566667,8.766667,6,298870,0.525213296
4,948270,1972,32.23333333,14.53333333,3.666666667,72.33333333,0.333333333,1.033333333,7.241414141,10,407610,0.42984593
5,737720,1972,31.06666667,14.66666667,0,67.66666667,0.6,1.333333333,8.7,9,275915,0.374010465
6,741400,1972,30.9,12.36666667,1.333333333,74.66666667,0.233333333,0.566666667,6.554666667,37,327010,0.441070947
7,742260,1972,28.83333333,13.6,0,74.33333333,0.6,1.2,7.313793103,9,198315,0.267177269
8,536915,1972,31.8,12.93333333,0.333333333,66,1.066666667,1.133333333,8.733333333,7,191615,0.356881443
9,837565,1972,28.73333333,15.56666667,7.666666667,75.33333333,0.6,1.2,7.49,4,247690,0.295726302
11,711710,1972,32.26666667,15.36666667,4.666666667,77.66666667,0.4,0.666666667,7.306896552,6,277315,0.389646064
12,468950,1972,30.76666667,12.56666667,8.333333333,71.66666667,1.3,1.233333333,7.026436782,14,143400,0.30578953
14,1114080,1972,32.26666667,13.93333333,3.666666667,69.66666667,0.533333333,1.133333333,7.307619048,20,405005,0.363533139
16,1298620,1972,32.6,13.86666667,3,88.33333333,0.433333333,1.2,7.026666667,34,631115,0.485988973
17,1038635,1972,29.36666667,14.6,1,73.33333333,1,1.5,9.533333333,35,414990,0.39955326
4,924305,1973,28.73333333,15.06666667,53.33333333,74.33333333,0.533333333,1.366666667,7.241414141,10,515140,0.557326856
2,575340,1973,28.33333333,14.63333333,18,76.66666667,0.7,1.1,9.333333333,20,325880,0.566412904
3,579960,1973,29.2,16.43333,102,79.33333,1.5,2.1,8.233333,6,372250,0.641854611
5,726700,1973,27.86666667,15.1,50.33333333,76.33333333,0.666666667,1.933333333,8.9,9,304915,0.419588551
6,876485,1973,27.66666667,12.83333333,2.666666667,74.66666667,0.433333333,0.866666667,6.554666667,37,484850,0.553175468
7,728655,1973,28.16666667,13.63333333,35,78.66666667,0.7,1.4,7.313793103,9,236675,0.324810782
8,590930,1973,28.5,13.7,47.33333333,76,0.933333333,1.5,7.833333333,7,241110,0.40801787
9,913040,1973,28.76666667,15.63333333,20,75.33333333,0.5,1.1,7.49,4,377210,0.413136336
11,745450,1973,28.2,15.86666667,92.66666667,82,0.333333333,1.233333333,7.306896552,6,297315,0.398839627
12,386430,1973,29.06666667,13.4,28.33333333,74.66666667,2.133333333,1.466666667,7.026436782,14,134545,0.348174314
13,588305,1973,28.9,16.93333333,17.32478632,79.23931624,1.033333333,2.533333333,6.843678161,3,136430,0.231903519
14,973630,1973,28.73333333,14.66666667,8,74.33333333,0.633333333,1.2,7.307619048,20,404810,0.415773959
16,1298830,1973,27.3,13.36666667,5.333333333,84.66666667,0.766666667,1.433333333,7.026666667,34,775020,0.596706266
17,1117485,1973,28.23333333,14.66666667,7,74.66666667,0.9,1.4,9.066666667,35,574055,0.513702645
2,568865,1974,30.83333333,14.23333333,2.333333333,72,0.766666667,0.9,9.7,20,330010,0.580120064
3,560550,1974,29.13333,16.86667,21,75.33333,1.766667,1.666667,8.033333,6,343390,0.612594773
4,730175,1974,29.1,15.9,21.66666667,67.33333333,1.1,1.1,7.241414141,10,240635,0.329557983
5,693315,1974,28.5,14.86666667,7.666666667,72,0.433333333,1.466666667,9.3,9,252415,0.364069723
6,850805,1974,27.66666667,12.83333333,2.666666667,74.66666667,0.433333333,0.866666667,6.554666667,37,441220,0.518591217
7,667230,1974,28.36666667,13.06666667,0,77.66666667,0.9,1.066666667,7.313793103,9,184465,0.276463888
8,606000,1974,30.13333333,13.46666667,5.333333333,69.66666667,0.9,1.2,8.2,7,272120,0.449042904
9,887195,1974,28.86666667,15.93333333,1.333333333,70,0.7,1.133333333,7.49,4,403025,0.454268791
11,633920,1974,28.43333333,17.56666667,23.66666667,73.66666667,0.566666667,1,7.306896552,6,259475,0.40931821
12,446800,1974,29.73333333,12.33333333,4,70,1.3,1.266666667,7.026436782,14,147320,0.329722471
13,587250,1974,28.8,15.86666667,15.18803419,76.78632479,0.866666667,1.3,6.843678161,3,232465,0.395853555
14,1074320,1974,29.16666667,14.16666667,3,69,0.2,0.866666667,7.307619048,20,449695,0.41858571
16,1276235,1974,27.3,13.36666667,3.666666667,83.33333333,0.6,1.3,7.026666667,34,692540,0.542643009
17,941960,1974,28.83333333,14.76666667,2.666666667,75.33333333,1.066666667,1.433333333,9.366666667,35,443240,0.470550766
2,560625,1975,29.16666667,13.26666667,0.333333333,73,0.666666667,0.733333333,9.6,20,292430,0.52161427
3,567500,1975,32.5,15.5,48.33333,77,1.166667,1.533333,8.233333,6,383375,0.675550661
4,876395,1975,29.23333333,14.76666667,42.66666667,64.33333333,0.733333333,1.333333333,7.241414141,10,481915,0.549883329
5,703365,1975,28.73333333,14.06666667,8.333333333,71,0.333333333,1.5,9.166666667,9,357875,0.508804106
6,802370,1975,27.66666667,12.83333333,2.666666667,74.66666667,0.433333333,0.866666667,6.554666667,37,420695,0.524315465
7,716635,1975,28.53333333,14.2,6,74.33333333,1.066666667,1.2,7.313793103,9,244135,0.340668541
8,604170,1975,31.33333333,12.83333333,2.333333333,71.33333333,1.066666667,1.2,7.666666667,7,291460,0.48241389
9,972010,1975,29.76666667,15.8,6.666666667,71.66666667,0.733333333,1.066666667,7.49,4,481750,0.495622473
11,710485,1975,28.23333333,15.6,39.66666667,75,0.4,0.866666667,7.306896552,6,320755,0.451459214
12,533595,1975,29.2,12.36666667,20,70,1.033333333,1.1,7.026436782,14,216385,0.405522915
13,607385,1975,29.4,15.4,33.66666667,74.66666667,0.466666667,1.533333333,6.843678161,3,299115,0.492463594
14,1069450,1975,28.53333333,13.56666667,0.333333333,69,0.333333333,0.666666667,7.307619048,20,454840,0.425302726
16,1317170,1975,27.3,13.36666667,0,91.33333333,0.233333333,1.033333333,7.026666667,34,702755,0.533534016
17,1110660,1975,28.56666667,14.7,32,73.66666667,0.8,1.466666667,9.566666667,35,544495,0.490244539
2,580140,1976,32.06666667,14.26666667,2,74.33333333,0.6,1.033333333,9.3,20,310745,0.535637949
3,561400,1976,30.03333,16.43333,87.33333,75,1.4,1.433333,8.233333,6,383330,0.68281083
4,913665,1976,29.8,14.53333333,3.333333333,65,1.633333333,1.4,7.241414141,10,437165,0.478474058
5,730900,1976,29.5,14.63333333,2.666666667,70.33333333,0.333333333,1.466666667,8.066666667,9,316265,0.432706253
6,808620,1976,27.66666667,12.83333333,2.666666667,74.66666667,0.433333333,0.866666667,6.554666667,37,433845,0.536525191
7,753500,1976,29.63333333,14.8,1.333333333,75,0.4,1.1,7.313793103,9,224300,0.297677505
8,621995,1976,31.16666667,13.06666667,1.666666667,68.66666667,0.7,1.3,7.566666667,7,280945,0.451683695
9,964425,1976,31.26666667,16.8,5,69,0.633333333,1.366666667,7.49,4,471210,0.488591648
11,731215,1976,28.03333333,15.93333333,41.33333333,77.33333333,0.333333333,1,7.306896552,6,395385,0.540723317
12,583325,1976,29.93333333,12.63333333,1,67.66666667,0.6,1.233333333,7.026436782,14,226230,0.387828398
13,609500,1976,29.26666667,16.03333333,15.33333333,77.33333333,0.8,1.633333333,6.843678161,3,303550,0.498031173
14,1085795,1976,30.53333333,14.26666667,1.666666667,69.33333333,0.266666667,0.966666667,7.307619048,20,472285,0.434967006
16,1302095,1976,27.3,13.36666667,0.333333333,88,0.333333333,1.466666667,7.026666667,34,683845,0.525188254
17,907990,1976,28.7,14.7,20.33333333,74.66666667,0.7,1.433333333,8.3,35,432305,0.476112072
2,600340,1977,34.26666667,14.33333333,24.66666667,74.66666667,0.633333333,1.1,8.766666667,20,324910,0.541209981
3,572800,1977,31.23333,16,11.66667,73.33333,1.366667,1.433333,8.766667,6,400395,0.699013617
4,919125,1977,28.76666667,15.1,13.66666667,77,0.8,1.166666667,7.241414141,10,505045,0.549484564
5,711320,1977,31.83333333,14.66666667,11.33333333,73,0.366666667,1.7,8.033333333,9,344075,0.483713378
6,805740,1977,27.66666667,12.83333333,2.666666667,74.66666667,0.433333333,0.866666667,6.554666667,37,438385,0.544077494
7,710095,1977,29,15.33333333,4,74.33333333,0.3,1.266666667,7.313793103,9,242345,0.341285321
