District,Area,Year,Max_Temp,Min_Temp,Rainfall,Humidity,Wind,Cloud,Sunshine,ALT,Productions,PPH
41883,286080,1969,33.05,26.15,323,87.5,1.35,6,4.2,20,95240,0.33291387
41978,264775,1969,33.25,24.75,699.5,88,4.4,6.5,4.8,6,121470,0.458766878
41933,566325,1969,34.15,24.8,601.5,88.5,2.4,4.8,4.9,10,224045,0.39561206
41923,499125,1969,33.05,26,369,87,2,5.95,5.35,9,185035,0.370718758
41863,484460,1969,35.3,26.5,482.5,87,0.9,5.25,4.748,37,187185,0.386378648
41929,577015,1969,32.8,25.75,335,88,1.5,6.35,4.694827586,9,164925,0.285824459
41936,636155,1969,34.2,25.65,337,88.5,3.1,6.3,4.95,7,214345,0.336938325
41947,119700,1969,35,26.2,290,93,0.45,4.75,4.126666667,4,49115,0.41031746
41886,1089970,1969,34.45,25.75,486,86.5,0.5,5.55,4.034285714,19,325685,0.298801802
41953,478290,1969,31.95,25.1,758,88.5,1.35,6.35,4.10862069,6,154690,0.323423028
41907,414815,1969,35.15,25.8,400.5,89,1.3,6.25,4.632758621,14,145150,0.349915022
41895,474080,1969,32.75,26.05,504,85.5,1.35,5.95,4.745714286,20,173860,0.366731353
41859,906800,1969,37.05,26.25,528,84.5,0.8,5.55,4.747142857,34,324985,0.358386634
41891,360260,1969,34.3,24.85,851,88.5,1.25,7.2,4.35,35,164960,0.457891523
41883,228600,1970,34.45,26.4,400,86,1.2,6.25,4.6,20,81120,0.354855643
41978,217790,1970,33.5,24.95,723,88,3.75,6.7,4.95,6,100405,0.461017494
41933,564220,1970,34.45,25.95,393,90,1.55,4,4.9,10,213480,0.37836305
41923,400750,1970,34.2,26.25,388,86.5,1.8,6,5.45,9,145300,0.362570181
41863,489920,1970,35.3,26.4,356,86,0.65,5.4,4.748,37,189150,0.386083442
41929,479420,1970,34.4,25.85,336.5,87.5,1.35,6.6,4.694827586,9,142475,0.297182012
41936,637010,1970,35.3,25.95,347.5,86.5,2.9,6.25,5.45,7,226515,0.355590964
41947,83640,1970,36.1,26.3,452,87.5,0.15,4.5,4.126666667,4,33645,0.402259684
41886,709830,1970,33.9,25.6,265,85,0.35,5.75,4.034285714,19,237810,0.335023879
41953,489270,1970,34.35,24.85,694,87.5,1.05,6.5,4.10862069,6,177935,0.363674454
41907,324480,1970,34.9,26.2,273.5,85,3.4,5.9,4.632758621,14,100485,0.309680104
41895,463400,1970,32.75,26.05,290.5,84,1.1,6.9,4.745714286,20,170740,0.368450583
41859,916840,1970,34.35,25.1,471.5,86,0.8,4.8,4.747142857,34,367785,0.401144147
41891,355030,1970,34.7,24.9,869,88.5,1.25,6.85,4.2,35,157025,0.442286567
41883,210665,1971,33.3,25,332.5,86,1.7,6.8,4.95,20,58020,0.275413571
41978,197320,1971,32.1,24.3,828,86,4,6.95,4.5,6,95810,0.485556457
41933,502410,1971,32.75,24.65,299,86.5,2.35,4.7,4.9,10,169950,0.338269541
41923,406315,1971,33,25.05,545,84.5,1.8,6.4,4.95,9,150285,0.369873128
41863,303370,1971,32.75,25.8,358.5,84.5,0.95,5.8,4.748,37,103045,0.339667732
41929,435560,1971,33.05,24.9,408,86,1.4,6.05,4.694827586,9,117600,0.269997245
41936,626820,1971,32.85,25.2,494.5,87,2.6,7,3.75,7,203210,0.324191953
41947,93475,1971,33.9,25.65,160,87.5,0.4,4.35,4.126666667,4,40365,0.431826692
41886,720075,1971,35,25.45,387,85.5,1,6.1,4.034285714,19,222270,0.30867618
41953,463375,1971,32.2,24.5,879,87,1.3,7,4.10862069,6,143625,0.309954141
41907,324625,1971,33.2,25.4,266,85,3.75,6.25,4.632758621,14,88315,0.272052368
41895,442885,1971,35.15,25.4,452,86.5,1.2,6.4,4.745714286,20,132530,0.299242467
41859,916865,1971,35.6,25.75,368,85.5,1.35,5.2,4.747142857,34,278480,0.303730647
41891,329135,1971,33.9,24.4,540.5,86.5,1.45,7.15,3.4,35,132080,0.401294302
41883,257240,1972,37.25,26,284,85.5,1.05,5.7,5.1,20,82590,0.321062043
41978,246185,1972,35.1,25.1,468.5,86,4.8,7.35,4.5,6,100020,0.40627983
41933,493115,1972,34.9,25.8,295.5,86.5,3.6,6.45,4.9,10,157780,0.319965931
41923,360745,1972,34,25.85,314.5,86.5,1.85,6.65,4.95,9,104565,0.289858487
41863,274650,1972,36.8,26.1,317.5,84.5,0.8,5,4.748,37,82835,0.301602039
41929,539500,1972,34.75,24.6,284.5,85.5,1.6,6.65,4.694827586,9,153000,0.283595922
41936,561830,1972,34.7,25.4,270.5,86.5,3,6.3,3.8,7,176050,0.313351014
41947,72400,1972,34.4,26.35,239,87.5,1.05,4.85,4.126666667,4,20215,0.279212707
41886,729060,1972,35.55,25.55,274,85.5,0.9,6.35,4.034285714,19,198725,0.272577017
41953,436350,1972,33.3,23.8,630,86.5,1.4,6.25,4.10862069,6,158530,0.36330927
41907,293915,1972,35.75,25.65,222.5,84,2.75,5.85,4.632758621,14,89755,0.305377405
41895,437000,1972,35.75,26.1,178.5,84.5,1.3,6,4.745714286,20,142845,0.32687643
41859,827775,1972,35,23.75,338.5,85,1.05,4.95,4.747142857,34,247375,0.298843285
41891,248635,1972,35.3,24.85,652.5,86,1,6.9,5.3,35,82385,0.331349166
41883,248990,1973,33.9,26.3,272,85,1.15,4.9,6.15,20,80310,0.322543074
41978,289650,1973,33.15,25.2,341.5,87,4.45,6.5,5.35,6,162355,0.560521319
41933,499815,1973,34.3,25.2,235,81.5,2.35,5.3,4.9,10,246235,0.492652281
41923,385775,1973,32.25,25.95,309.5,86.5,1.55,6.6,6.55,9,138340,0.358602813
41863,422110,1973,32.4,25.95,379,84.5,0.85,5.75,4.748,37,162525,0.385029968
41929,489225,1973,33.05,24.5,337.5,86,1.8,6.1,4.694827586,9,138260,0.282610251
41936,607925,1973,33.35,25.7,219,87,2.6,5.9,4.9,7,212720,0.349911584
41947,102755,1973,32.55,26.15,206,87.5,0.85,3.05,4.126666667,4,39345,0.382901075
41886,759010,1973,35.35,25.4,241,85.5,0.85,5.95,4.034285714,19,276755,0.36462629
41953,417350,1973,32.45,24.8,609,88.5,1.75,5.3,4.10862069,6,149690,0.358667785
41907,239815,1973,33.6,26,231,83,4.6,6.15,4.632758621,14,67255,0.280445343
