District,Area,Year,Max_Temp,Min_Temp,Rainfall,Humidity,Wind,Cloud,Sunshine,ALT,Productions,PPH
2,36600,1970,41.7,24.8,206.3333333,73,1.466666667,4.166666667,7.133333333,20,33825,0.924180328
3,167445,1970,34.33333333,24.93333333,170.3333333,81.66666667,3.7,5.2,6.633333333,6,201390,1.202723282
4,187455,1970,35.23333333,25.23333333,150,92,1.666666667,2.966666667,6.435353535,10,184035,0.981755621
5,179600,1970,36.16666667,25.33333333,171,77.66666667,2.266666667,4.7,7.766666667,9,167805,0.934326281
6,13350,1970,36.86666667,24.36666667,134.3333333,67,0.9,3.166666667,6.5,37,9220,0.690636704
7,46300,1970,36.46666667,24.9,183,75,2.3,5.166666667,6.687356322,9,49885,1.077429806
8,23670,1970,37.26666667,25.3,156,75,4.066666667,4.4,8.2,7,29375,1.241022391
9,53695,1970,37.06666667,26.2,242.6666667,79,0.466666667,2.633333333,6.862222222,4,44930,0.8367632
10,139000,1970,35.93333333,24.16666667,287.6666667,75,0.366666667,4.7,5.72,19,125850,0.905395683
11,52235,1970,34.33333333,24.63333333,306,83.66666667,1.066666667,4.7,6.063218391,6,66555,1.274145688
12,26435,1970,40.13333333,25.2,174.6666667,72.33333333,4.4,4.366666667,6.871264368,14,26780,1.01305088
14,95000,1970,35.9,24.33333333,167.3333333,67.66666667,1.033333333,4.566666667,6.985714286,20,78590,0.827263158
16,35000,1970,37.33333333,22,242.6666667,79.66666667,1.266666667,3.8,6.233333333,34,29665,0.847571429
17,669400,1970,34.6,23.13333333,757.3333333,81.66666667,1.6,5.366666667,6.8,35,515705,0.770398865
2,30065,1971,34.5,24.13333333,175.6666667,75.33333333,1.666666667,4.2,6.966666667,20,20595,0.685015799
3,157270,1971,33.53333333,24.16666667,319.6666667,80.66666667,3.333333333,5.166666667,6.566666667,6,179330,1.140268328
4,167470,1971,34.16666667,24.1,192,81.66666667,2.133333333,3.733333333,6.435353535,10,137410,0.820505165
5,186300,1971,34.26666667,24.23333333,256.6666667,77.66666667,1.766666667,4.833333333,6.9,9,177115,0.950697799
6,3685,1971,33.9,23.36666667,181.6666667,70.66666667,1.033333333,3.7,6.5,37,3295,0.894165536
7,43760,1971,33.66666667,24.2,226.6666667,78.33333333,1.966666667,4.4,6.687356322,9,42400,0.968921389
8,14830,1971,35.3,17.4,207.6666667,75.66666667,3.166666667,4.566666667,6.766666667,7,15605,1.052258935
9,47675,1971,34.9,25.1,83,79,1.2,3.233333333,6.862222222,4,30825,0.646565286
10,135030,1971,32.86666667,23.66666667,263,78.33333333,1.7,5,5.72,19,103440,0.766051988
11,68295,1971,34.16666667,24.43333333,344,81,1.2,4.5,6.063218391,6,81970,1.200234278
12,29435,1971,35.66666667,24.2,174.6666667,72.33333333,2.566666667,4.366666667,6.871264368,14,27030,0.918294547
14,84240,1971,35.66666667,24.1,137.6666667,72,1.733333333,4.433333333,6.985714286,20,63020,0.748100665
16,29995,1971,33.76666667,22.83333333,41.66666667,78.66666667,1.4,4.266666667,6.233333333,34,24725,0.824304051
17,578675,1971,33.03333333,22.83333333,492,81,1.566666667,5.9,5.2,35,353560,0.610981985
2,38855,1972,39.83333333,24.66666667,136,69.33333333,1.533333333,3.166666667,7.833333333,20,34375,0.884699524
3,151495,1972,35.5,24.7,188,80.66666667,4.666666667,4.966666667,6.566666667,6,183085,1.208521733
4,174750,1972,36.1,25.16666667,246,81.66666667,3.833333333,4.7,6.435353535,10,150820,0.863061516
5,206735,1972,36.03333333,24.73333333,313.6666667,78.66666667,2.533333333,4.7,6.9,9,211130,1.0212591
6,11500,1972,35.26666667,23.43333333,125.6666667,70.66666667,1.033333333,3.433333333,6.5,37,13975,1.215217391
7,57335,1972,36.66666667,23.56666667,226.6666667,77,2.166666667,4.133333333,6.687356322,9,67260,1.173105433
8,19235,1972,37.53333333,25.26666667,56.33333333,70.33333333,3.733333333,3.733333333,7.466666667,7,21285,1.106576553
9,51765,1972,36.63333333,25.7,188,79,1.266666667,3.3,6.862222222,4,38320,0.740268521
10,149745,1972,35.93333333,23.53333333,280.3333333,78.33333333,0.8,5,5.72,19,115940,0.774249558
11,69950,1972,34.56666667,23.4,219.6666667,77.33333333,1.933333333,3.966666667,6.063218391,6,77750,1.11150822
12,42370,1972,41,24.86666667,105.3333333,64.33333333,4.066666667,3.333333333,6.871264368,14,40640,0.959169224
14,97435,1972,37.56666667,25.36666667,105,64,1.566666667,2.9,6.985714286,20,82030,0.841894596
16,37270,1972,39.6,14.83333333,123.3333333,80.33333333,1.2,3.666666667,6.233333333,34,33335,0.894419104
17,628865,1972,34.3,21.9,552.6666667,83.33333333,1.666666667,5.933333333,6.033333333,35,408220,0.649137732
2,46645,1973,36.63333333,24.3,396.3333333,77.33333333,1.133333333,3.966666667,6.733333333,20,39520,0.847250509
3,184040,1973,33.83333333,24.56666667,335.3333333,82.66666667,4.133333333,5,7.4,6,194345,1.055993262
4,241720,1973,34.9,24.2,335.3333333,78.33333333,3.2,4.9,6.435353535,10,227295,0.940323515
5,205780,1973,34.83333333,24.6,388.6666667,82,2,5.266666667,7.066666667,9,215770,1.048546992
6,13195,1973,33.9,23.36666667,181.6666667,70.66666667,1.033333333,3.7,6.5,37,14065,1.065934066
7,60540,1973,35.73333333,23.2,389,79.66666667,1.7,5.2,6.687356322,9,70700,1.167822927
8,26270,1973,36.26666667,24.6,218.6666667,75.66666667,3.2,4.5,6.133333333,7,25900,0.985915493
9,47955,1973,36,25.2,253,79,1.5,2.533333333,6.862222222,4,31610,0.659159629
10,162530,1973,35.53333333,23.6,247.6666667,78.33333333,0.733333333,5.3,5.72,19,125070,0.769519473
11,136110,1973,33.63333333,24.83333333,336.6666667,85.66666667,1.633333333,3.833333333,6.063218391,6,147015,1.080119021
12,64700,1973,38.96666667,24.16666667,367,74,4.333333333,5.066666667,6.871264368,14,59860,0.925193199
13,64285,1973,34.93333333,24.13333333,489.6666667,82.66666667,3.3,6.433333333,5.491954023,3,63645,0.990044334
14,125005,1973,36.93333333,24.56666667,241,74.33333333,1.433333333,5.1,6.985714286,20,119685,0.957441702
16,55860,1973,33.3,22.83333333,386.3333333,84,1.066666667,4.033333333,6.233333333,34,51205,0.916666667
17,491435,1973,31.8,22.7,551.3333333,81,1.5,5.733333333,4.966666667,35,192660,0.392035569
