District,Area,Year,Max_Temp,Min_Temp,Rainfall,Humidity,Wind,Cloud,Sunshine,ALT,Productions,PPH
2,67720,1969,38.625,22.9,115.75,70.5,1.425,3.6,7.85,20,187375,2.766907856
3,600,1969,33.65,23.2,323.75,81,3.525,4.325,7.75,6,1380,2.3
4,170895,1969,35.85,23.1,279.25,80.75,1.75,2.55,6.804545455,10,540030,3.160010533
5,216925,1969,36.075,23.85,123.75,74.25,1.775,3.975,7.65,9,668225,3.080442549
6,108805,1969,36.425,22.675,171.25,69.75,0.725,2.575,6.894,37,292870,2.691696154
7,317620,1969,36.975,23.475,129.5,73.25,1.975,3.7,6.985344828,9,947780,2.984006045
8,167870,1969,37.025,23.85,118.5,71.75,3.025,3.925,7.7,7,503585,2.999851075
9,59420,1969,37.35,25.125,130.5,74.25,0.825,2,7.215833333,4,176430,2.969202289
10,471100,1969,34.65,22.675,228.5,74.5,0.75,3.75,6.084285714,19,1378335,2.925780089
11,39530,1969,34.875,23.725,349.75,78.75,1.125,4.275,6.507758621,6,111860,2.829749557
12,141200,1969,36.7,22.825,108.25,72,1.55,3.725,7.181034483,14,445315,3.153788952
14,118420,1969,35.675,22.675,140.75,67.5,1.25,3.35,7.338571429,20,275560,2.326971795
16,357260,1969,36.775,18.25,211.25,77,0.7,2.925,6.638571429,34,992865,2.779110452
17,22195,1969,34.25,21.55,431.5,76.75,1.925,4.825,6.825,35,68130,3.069610273
2,59005,1970,42.125,23.35,154.75,68.5,1.425,3.55,7.625,20,171955,2.914244556
3,535,1970,34.5,23.9,128.25,80.25,3.4,4.65,7.05,6,1725,3.224299065
4,137550,1970,35.6,23.975,128.25,86.5,1.525,2.725,6.804545455,10,462170,3.36001454
5,194695,1970,36.425,24.125,134,73.75,2.05,4.175,8.05,9,686040,3.52366522
6,111815,1970,36.95,22.825,101,63,0.875,2.7,6.894,37,271515,2.428252023
7,239680,1970,36.375,23.55,143.5,72,2.1,4.5,6.985344828,9,668180,2.787800401
8,173135,1970,37.3,24.025,128.25,72.25,3.775,3.875,8.325,7,528630,3.053282121
9,42520,1970,37.1,25.125,182,76.75,0.5,2.35,7.215833333,4,133115,3.130644403
10,271025,1970,35.975,22.775,217.25,71.5,0.375,4.225,6.084285714,19,797580,2.942828152
11,29820,1970,34.475,23.675,230.75,82.25,1.025,4.15,6.507758621,6,100790,3.379946345
12,91210,1970,39.9,23.55,134.75,68.5,3.9,3.775,7.181034483,14,274605,3.010689617
14,69935,1970,35.675,22.675,126.25,65.5,1.05,3.875,7.338571429,20,179900,2.572388647
16,388695,1970,37.4,20.325,183.25,79.25,1.2,3.325,6.638571429,34,1255935,3.231158106
17,28480,1970,34.425,21.825,583,77.75,1.625,4.825,7.175,35,95915,3.367801966
2,48380,1971,35.175,22.45,134,71.5,1.45,3.5,7.7,20,111010,2.2945432
3,445,1971,33.1,23.125,248.25,79,3.075,4.3,7.025,6,1375,3.08988764
4,130730,1971,34.65,22.6,150.5,79.5,1.725,3,6.804545455,10,384345,2.939990821
5,192590,1971,34.175,23.15,202.5,73.5,1.65,4.225,7.275,9,622465,3.232073316
6,51100,1971,34.6,21.65,136.25,66.75,0.925,2.95,6.894,37,91705,1.794618395
7,164305,1971,33.675,22.9,176.75,75,1.775,3.825,6.985344828,9,329715,2.006725297
8,123000,1971,35.15,16.4,163.5,73,2.825,3.95,7.075,7,354040,2.878373984
9,23485,1971,35.6,23.975,68.75,76.75,1.05,2.625,7.215833333,4,57120,2.43219076
10,171585,1971,32.8,22.3,203.75,75.25,1.55,4.3,6.084285714,19,383905,2.237404202
11,21500,1971,34.075,22.775,261.75,79.25,1.025,3.675,6.507758621,6,55040,2.56
12,85740,1971,35.525,22.525,134.75,68.5,2.275,3.725,7.181034483,14,217915,2.541579193
14,66875,1971,35.5,22.5,105.5,68.75,1.575,3.725,7.338571429,20,138360,2.068934579
16,308640,1971,33.45,21.225,31.75,75.75,1.35,3.575,6.638571429,34,761010,2.46568818
17,23150,1971,33.675,21.6,399,77,1.65,5.025,5.875,35,56950,2.460043197
2,46925,1972,39.25,23.15,105.5,65.25,1.425,2.65,8.4,20,119825,2.553542888
3,440,1972,35.05,23.525,141,79,4.075,4.075,7.025,6,1165,2.647727273
4,155125,1972,36.125,24.025,188.25,79.5,3.575,4.25,6.804545455,10,530530,3.420016116
5,187440,1972,36.2,23.45,238.25,74,2.4,4.05,7.275,9,604730,3.22625907
6,79240,1972,35.75,21.75,95.25,66.75,0.925,2.7,6.894,37,149075,1.881309944
7,241880,1972,36.8,22.3,170.5,73.25,1.925,3.5,6.985344828,9,806030,3.332354887
8,152270,1972,37.375,23.8,44,68,3.3,3.15,7.875,7,479795,3.150948972
9,33880,1972,36.825,24.7,143.5,76.75,1.075,2.725,7.215833333,4,86710,2.559327037
10,303180,1972,35.1,22.175,223.25,75.25,0.825,4.3,6.084285714,19,887190,2.926281417
11,20720,1972,34.825,22.3,167.25,75.25,1.75,3.425,6.507758621,6,61330,2.959942085
12,94710,1972,39.525,23.1,79,60.75,3.525,2.825,7.181034483,14,281370,2.97085841
14,74320,1972,37.55,23.75,78.75,62.25,1.425,2.325,7.338571429,20,208940,2.811356297
16,393075,1972,38.45,14.275,105.75,80.5,1.05,2.975,6.638571429,34,1108195,2.819296572
17,21055,1972,34.275,20.775,442,76.75,1.7,5.275,6.775,35,50530,2.399905011
