District,Area,Year,Max_Temp,Min_Temp,Rainfall,Humidity,Wind,Cloud,Sunshine,ALT,Productions,PPH
2,21880,1969,30.75,14.1,8,70.5,0.6,1.575,9.2,20,67595,3.089351005
4,22510,1969,31.4,16.95,14,76.25,0.3,0.7,7.4,10,72025,3.199689027
5,38940,1969,30.025,14.775,6.5,69.25,0.6,1.875,9.125,9,268925,6.906137648
6,16465,1969,28.975,13.25,24.5,73.5,0.2,0.6,6.724,37,49960,3.034315214
7,2490,1969,28.9,14.625,18.25,75,0.5,1.35,7.476724138,9,7105,2.853413655
8,2315,1969,30.125,13.675,22.25,69.25,1.175,1.575,9.2,7,8335,3.600431965
9,5840,1969,31.75,16.75,7,72.5,0.2,0.65,7.625833333,4,26815,4.591609589
10,12560,1969,29.05,14.625,5.75,69.5,0.2,1.5,6.888571429,19,29250,2.328821656
11,4100,1969,29.725,15.25,25.25,72,0.15,1.05,7.434482759,6,19580,4.775609756
12,4380,1969,28.9,12.925,14,73,0.875,1.55,7.249137931,14,11695,2.670091324
14,20310,1969,28.425,13.65,27.5,68.25,0.525,1.575,7.532142857,20,46555,2.292220581
16,19380,1969,28.15,12.6,18.25,83.5,0.4,1.225,7.173571429,34,86145,4.44504644
17,12995,1969,29.475,14.2,41.75,74.25,1.15,2.025,8.9,35,53035,4.081185071
2,21780,1970,30.1,13.6,6.75,72.75,0.475,1.175,9.625,20,60645,2.784435262
4,21500,1970,30.275,15.35,24.5,78.25,0.425,0.75,7.4,10,68315,3.17744186
5,391005,1970,29.25,14.65,15.75,69.25,0.625,1.375,8.875,9,267515,0.684172837
6,16555,1970,31.1,12.475,4.75,71.25,0.425,0.6,6.724,37,50535,3.052552099
7,2520,1970,29.025,13.775,13.25,75,0.6,1.225,7.476724138,9,7385,2.930555556
8,2350,1970,30.75,13.3,6.5,70.5,0.95,1.425,9.1,7,8350,3.553191489
9,5900,1970,30.75,15.675,3.25,74.25,0.4,0.975,7.625833333,4,27665,4.688983051
10,13000,1970,28.35,14.35,4.5,71.25,0.35,0.975,6.888571429,19,32950,2.534615385
11,4250,1970,28.8,15,37.75,75.25,0.225,0.8,7.434482759,6,20295,4.775294118
12,4820,1970,30.175,13.05,5.5,71.75,1.125,1.15,7.249137931,14,12935,2.683609959
14,20500,1970,28.85,14,10,70.75,0.7,1.7,7.532142857,20,48950,2.387804878
16,19500,1970,32.25,11.525,4.75,81,0.65,0.55,7.173571429,34,88110,4.518461538
17,12795,1970,29.725,14.15,19,72.5,1.725,1.725,9.275,35,49820,3.89370848
2,17340,1971,28.95,13.4,15,68.5,0.75,1.025,9.45,20,42805,2.468569781
4,20425,1971,28.875,14.625,14.75,75.25,0.625,1.1,7.4,10,65275,3.195838433
5,40650,1971,30.025,14,27.25,70,0.6,1.375,8.05,9,266550,6.557195572
6,6640,1971,29.45,12.525,1.25,72.25,0.4,0.875,6.724,37,16210,2.44126506
7,2065,1971,28.75,13.475,34.25,74.25,0.475,0.975,7.476724138,9,6450,3.123486683
8,2085,1971,29.525,16.85,5.75,72.75,0.8,1.275,7.7,7,6685,3.206235012
9,5320,1971,31.9,15.8,3.5,74.25,0.35,0.975,7.625833333,4,23520,4.421052632
10,11400,1971,28.35,13.3,19.75,73.75,0.375,1.2,6.888571429,19,25125,2.203947368
11,3660,1971,28.825,14.625,59.75,75.75,0.475,1.125,7.434482759,6,16535,4.517759563
12,4345,1971,28.325,12.6,4.25,68.75,1.1,1.4,7.249137931,14,11610,2.672036824
14,19200,1971,30.425,13.5,27.5,73.5,0.9,1.225,7.532142857,20,43025,2.240885417
16,19000,1971,29,12.45,23.75,83.75,0.625,1.2,7.173571429,34,85255,4.487105263
17,10000,1971,28.775,13.95,33.25,70.5,1.25,2.075,8.725,35,39160,3.916
2,19350,1972,30.7,14.15,18.75,70.5,0.55,0.9,9.475,20,46645,2.410594315
4,19745,1972,32.375,14.9,10.25,69.25,0.5,1.175,7.4,10,61485,3.113952899
5,40300,1972,31.7,15.125,5.25,66.25,0.75,1.475,8.85,9,259070,6.42853598
6,12745,1972,30.425,12.4,1.25,72.25,0.35,0.65,6.724,37,41010,3.217732444
7,1480,1972,30.1,13.975,2.25,72.25,0.6,1.35,7.476724138,9,2145,1.449324324
8,1920,1972,32.775,13.575,2.75,64,1.2,1.25,8.475,7,6030,3.140625
9,4805,1972,29.375,15.625,8.75,74.25,0.65,1.25,7.625833333,4,17775,3.699271592
10,12025,1972,30.325,14.6,10,73.75,0.225,1.175,6.888571429,19,22710,1.888565489
11,3510,1972,33.075,15.7,4.5,78.75,0.425,0.975,7.434482759,6,15475,4.408831909
12,4325,1972,31.675,12.85,16.75,68.75,1.55,1.425,7.249137931,14,11335,2.620809249
14,18900,1972,32.75,13.7,7,67.75,0.55,1.25,7.532142857,20,42005,2.222486772
16,20500,1972,31.5,13.525,4,87.25,0.45,1.25,7.173571429,34,92625,4.518292683
17,10365,1972,29.275,14.5,5.75,71.75,1.1,1.625,9.475,35,39600,3.820549928
2,21525,1973,29.45,14.075,13.5,73.75,0.775,0.925,9.525,20,48235,2.240882695
4,20725,1973,29.6,14.625,40,70.25,0.55,1.125,7.4,10,62050,2.993968637
5,40180,1973,28.475,15.1,39.75,73,0.675,1.85,9.35,9,250920,6.244897959
6,14300,1973,28,12.75,2.25,72.25,0.5,0.875,6.724,37,39610,2.76993007
7,1500,1973,29.45,13.075,26.25,74,0.675,1.125,7.476724138,9,4335,2.89
8,2105,1973,30.15,13.15,35.5,71.75,0.9,1.275,8.15,7,6930,3.29216152
9,3485,1973,30.35,15.55,15,70,0.475,1,7.625833333,4,11885,3.410329986
10,12270,1973,29.05,14.3,3.75,73.75,0.375,1.05,6.888571429,19,22590,1.841075795
11,3345,1973,29.475,15.625,69.5,79.25,0.375,0.925,7.434482759,6,12655,3.783258595
12,4335,1973,30.125,12.7,21.25,70.25,2,1.225,7.249137931,14,11190,2.581314879
13,120,1973,29.275,16.8,22.01923077,78.02564103,1.025,2.325,7.004310345,3,310,2.583333333
14,20150,1973,30.175,14.225,6,69.5,0.6,1.075,7.532142857,20,43160,2.141935484
16,20540,1973,27.525,13.15,4,82.25,0.775,1.375,7.173571429,34,90960,4.428432327
17,9070,1973,29.125,14.2,5.25,71,0.875,1.2,9.45,35,33985,3.746968026
2,21960,1974,31.275,14.1,3.25,69.25,0.825,1.1,9.45,20,49005,2.231557377
4,36890,1974,29.8,15.75,27,66,1.15,1.2,7.4,10,126570,3.431011114
5,36860,1974,29.35,15.025,13,69.75,0.5,1.65,9.375,9,217475,5.90002713
6,15100,1974,28,12.75,2.25,72.25,0.5,0.875,6.724,37,41905,2.775165563
7,2240,1974,29.2,12.95,4.75,76.25,0.875,1.2,7.476724138,9,7420,3.3125
8,2500,1974,31.2,13.425,4,68,1.025,1.375,8.275,7,8125,3.25
9,3555,1974,29.475,15.9,4,70.25,0.725,1.2,7.625833333,4,12875,3.621659634
10,14890,1974,29.025,14.3,3,73.75,0.35,1.35,6.888571429,19,32610,2.190060443
11,3710,1974,29.25,17.05,18.5,74.25,0.5,1.225,7.434482759,6,16050,4.326145553
12,4385,1974,30.5,12.4,3,67.5,1.375,1.4,7.249137931,14,11390,2.597491448
13,145,1974,30.25,15.65,11.39102564,73.33974359,0.9,1.475,7.004310345,3,355,2.448275862
14,22400,1974,30.125,14.35,3.5,66.5,0.25,1.025,7.532142857,20,59080,2.6375
16,25650,1974,27.525,13.15,4.25,84.5,0.575,1.5,7.173571429,34,118100,4.604288499
17,14675,1974,29.525,14.675,9.75,73.25,1.5,1.625,9.3,35,79365,5.408177172
2,28105,1975,30.1,13.65,3,69.75,0.825,0.825,9.7,20,64085,2.280199253
4,25070,1975,29.975,15.025,34.5,64.25,0.95,1.425,7.4,10,92645,3.695452732
5,43000,1975,29.75,14.65,8,70,0.4,1.475,9.25,9,236940,5.510232558
6,16340,1975,28,12.775,2.25,72.25,0.475,0.875,6.724,37,48020,2.93880049
7,2500,1975,30.575,14.5,9,73.25,0.975,1.15,7.476724138,9,9605,3.842
8,2300,1975,32.6,13.25,8.75,70.25,1.175,1.15,7.95,7,7565,3.289130435
9,6105,1975,30.75,16.1,22.5,70,0.95,1.075,7.625833333,4,25350,4.152334152
10,14430,1975,30.175,14.325,3.25,73.75,0.075,1.3,6.888571429,19,30280,2.098406098
11,1475,1975,28.55,15.6,30.5,74.75,0.425,1,7.434482759,6,6230,4.223728814
12,4650,1975,30.3,12.525,19.25,68,1.175,1.075,7.249137931,14,12100,2.602150538
13,150,1975,30.15,15.675,31.25,74.25,0.55,1.4,7.004310345,3,330,2.2
14,23650,1975,29.725,14,2.75,66.5,0.325,0.725,7.532142857,20,62550,2.644820296
16,25890,1975,27.525,13.15,0,91.25,0.425,1.125,7.173571429,34,117740,4.547701815
17,14185,1975,28.925,14.825,26.75,72,0.775,1.575,9.55,35,77495,5.463165315
2,20520,1976,31.475,14.15,1.75,72,0.675,1.1,9.35,20,54805,2.670808967
4,22250,1976,30,14.475,22,64,1.725,1.55,7.4,10,87015,3.910786517
5,37135,1976,30.2,14.7,18.5,69.25,0.475,1.55,8.125,9,218920,5.895247071
6,15945,1976,28,12.75,2.25,72.25,0.5,0.875,6.724,37,41330,2.592035121
7,1365,1976,30.55,14.775,5.5,73.5,0.45,1.175,7.476724138,9,5030,3.684981685
8,2210,1976,31.925,13.225,7.5,67.25,0.875,1.375,7.8,7,7930,3.588235294
9,4440,1976,31.8,16.45,4.25,69.5,0.65,1.375,7.625833333,4,16295,3.670045045
10,10505,1976,28.95,14.2,33.75,71.25,0.975,1.3,6.888571429,19,26220,2.495954307
11,1095,1976,28.4,15.825,33,76.5,0.375,1.1,7.434482759,6,3165,2.890410959
12,4150,1976,30.775,12.475,0.75,66.25,0.55,1.3,7.249137931,14,8705,2.097590361
13,90,1976,29.775,15.525,16,76.25,1,1.875,7.004310345,3,205,2.277777778
14,17775,1976,31.65,14.15,6,67.5,0.275,0.975,7.532142857,20,43770,2.462447257
16,18485,1976,27.525,13.15,0.25,84.75,0.45,1.4,7.173571429,34,60520,3.274005951
17,11270,1976,29,14.575,26,73.5,0.75,1.6,8.3,35,57110,5.06743567
2,22285,1977,33.125,14.2,18.75,72.25,0.7,1.15,8.95,20,64935,2.913843392
4,25800,1977,28.95,15.075,13,75.5,0.8,1.25,7.4,10,104985,4.069186047
5,42100,1977,32.125,14.525,13.5,70,0.425,1.725,8.275,9,253945,6.031947743
6,19830,1977,28,12.75,2.25,72.25,0.5,0.875,6.724,37,50590,2.551185073
7,1350,1977,29.875,15.175,6.25,71.5,0.35,1.275,7.476724138,9,4605,3.411111111
8,2785,1977,30.325,13.975,20.75,72.75,0.825,1.675,8.375,7,10515,3.775583483
9,4655,1977,30.575,16.1,10.75,70.75,0.475,1.325,7.625833333,4,16620,3.570354458
10,12970,1977,29.15,13.7,13.75,70.5,1.4,1.8,6.888571429,19,30335,2.338858905
11,1285,1977,28.4,15.825,14.25,76.5,0.375,1.1,7.434482759,6,3780,2.941634241
12,5500,1977,31.775,13.25,17,68.5,0.725,1.5,7.249137931,14,11975,2.177272727
13,90,1977,31.475,15.8,11.75,73,0.775,2.275,7.004310345,3,205,2.277777778
14,21130,1977,30.575,14.9,22.5,70,0.65,1.525,7.532142857,20,52330,2.476573592
16,23400,1977,28.925,13.425,4.25,84.5,0.425,1.425,7.173571429,34,80555,3.442521368
17,10170,1977,29.875,14.175,14.5,72.5,1.075,1.55,8.375,35,53550,5.265486726
2,25310,1978,30.075,14.35,8,71.25,0.775,1.3,8.65,20,72640,2.870011853
4,28215,1978,29.825,14.65,12.5,73.25,0.7,0.975,7.4,10,118280,4.192096403
5,44215,1978,30.525,14.5,4,67.5,0.5,1.425,8.375,9,252570,5.712314825
6,22700,1978,28,12.75,2.25,72.25,0.5,0.875,6.724,37,58495,2.576872247
7,1340,1978,30.15,15.375,9,72,0.25,0.95,7.476724138,9,4380,3.268656716
8,2845,1978,29.9,13.975,25,72,0.875,1.625,8,7,10835,3.808435852
9,5260,1978,30.925,16.85,9.5,68.25,0.4,0.875,7.625833333,4,20465,3.890684411
10,8840,1978,30.725,13.975,0.5,71,0.6,1.15,7.04,19,20335,2.300339367
11,1385,1978,29.925,15.5,13,72.25,0.4,1.225,7.434482759,6,4000,2.888086643
12,6400,1978,29.6,13.1,12.25,68.25,1.025,1.45,7.249137931,14,14370,2.2453125
13,105,1978,31,16.375,26.5,74.25,0.775,1,7.004310345,3,250,2.380952381
14,21380,1978,29.4,14.3,21.5,71.25,1.2,1,7.635,20,52110,2.437324602
16,26300,1978,26.925,13.325,5.75,69,0.5,1.05,7.349285714,34,93510,3.555513308
17,9220,1978,29.95,14.375,4.75,69.75,0.875,1.7,9.1,35,50340,5.459869848
1,2535,1979,30.8,15.475,33.25,77.75,0.35,1.2,8.775,4,9092,3.586587771
2,24600,1979,30.825,14.925,13.25,72,0.675,1.225,8.275,20,70829,2.879227642
4,24635,1979,30,15.7,19.75,76.25,0.725,0.925,7.4,10,102327,4.153724376
5,48000,1979,30.025,15.575,35.25,71.75,0.4,1.325,7.9,9,277002,5.770875
6,22860,1979,27.775,13.375,2.25,72.25,0.475,0.875,6.724,37,60164,2.631846019
7,1385,1979,29.9,16.3,43.75,74.25,0.2,1.05,7.476724138,9,4736,3.419494585
8,3305,1979,30.675,15.325,30,69.75,1.15,1.575,7.675,7,13131,3.973071104
9,5675,1979,31.35,17.725,33,73.75,0.35,1.05,7.625833333,4,20940,3.689867841
10,8880,1979,30.2,15.2,10.5,71.75,0.825,1.625,8.375,19,20422,2.299774775
11,1845,1979,30.525,16.9,36.75,68.5,0.6,1.425,7.434482759,6,5844,3.167479675
12,6845,1979,31,13.725,15.5,69.75,0.65,1.425,7.249137931,14,15398,2.249525201
13,120,1979,29.325,17.275,31.25,76.25,0.7,1.125,7.004310345,3,287,2.391666667
14,22320,1979,30.2,14.7,24.25,73.25,0.975,1.225,7.925,20,56925,2.550403226
15,1035,1979,29.8,18.45,50.75,76.75,1.025,2.525,7.647222222,63,2852,2.755555556
16,25335,1979,27.875,14.025,15,74.25,0.4,0.95,7.475,34,89097,3.516755477
17,9545,1979,28.875,15.1,18,72.75,1.05,1.75,8.075,35,52332,5.482661079
1,2700,1980,30.4,15.05,16.75,77,0.45,1.375,8.325,4,9810,3.633333333
2,26990,1980,30.825,14.9,13,73,0.675,1.15,8.65,20,78615,2.912745461
4,31925,1980,30.2,14.625,7.75,73.5,0.65,1.1,7.500757576,10,145035,4.542991386
5,48640,1980,30.325,15.35,13,69,0.275,1.45,7.875,9,287020,5.900904605
6,22255,1980,27.95,13.15,19.5,72.25,1.525,1.5,6.724,37,63140,2.837115255
7,1405,1980,30.5,15.375,22.5,74.25,0.4,0.975,7.476724138,9,5750,4.09252669
8,3285,1980,31.475,14.425,29,69,0.975,1.625,7.5,7,13040,3.9695586
9,8590,1980,30.75,15.25,16.5,76.75,0.975,1.35,7.625833333,4,31090,3.619324796
10,8895,1980,30.35,14.425,15,62,0.75,1.75,7.775,19,20470,2.301292861
11,1975,1980,31.45,16.45,28.75,70.25,0.025,1.25,7.434482759,6,6490,3.286075949
12,7150,1980,29.65,14.075,27.75,72,0.65,1.35,7.249137931,14,16680,2.332867133
13,145,1980,29.925,16.925,23.75,73.5,1.375,1.675,7.004310345,3,335,2.310344828
14,21800,1980,29.525,13.45,30,71.5,0.95,1.05,7.95,20,51385,2.357110092
15,830,1980,29.175,17.45,2.25,77.25,0.7,2.275,7.647222222,63,2135,2.572289157
16,24245,1980,29.025,14.025,7.5,75.25,0.475,1.35,9,34,82850,3.417199423
17,11385,1980,30.175,15.075,15,71.25,1.05,1.4,8.625,35,65800,5.779534475
1,2760,1981,30.475,14.8,22.5,75.5,0.35,1.475,8.2,4,10130,3.670289855
2,26935,1981,30.75,13.875,21.5,71.25,0.65,1.125,8.55,20,79300,2.944124745
4,35365,1981,30.3,14.25,9.75,72,0.475,0.975,8.15,10,188755,5.337339177
5,48790,1981,30.625,14.75,14.75,67.25,0.4,1.4,7.575,9,290870,5.961672474
6,22820,1981,29,12.9,12.75,67.5,0.6,1.4,6.724,37,67130,2.941717791
7,1640,1981,30.225,14.875,29,71.5,0.275,0.725,7.476724138,9,5780,3.524390244
8,4710,1981,31.425,14.075,38,71.5,0.9,1.775,7.15,7,31335,6.652866242
9,8650,1981,30.775,15.1,20,74.5,0.975,1.425,7.625833333,4,31410,3.631213873
10,8920,1981,30,14.45,20.25,59.5,0.85,1.575,7.15,19,20265,2.271860987
11,2080,1981,30.55,15.025,19.5,67.75,0.1,1.175,7.434482759,6,6790,3.264423077
12,7440,1981,30.4,12.825,14,69,0.425,0.925,7.249137931,14,18280,2.456989247
13,150,1981,30.35,16.9,6.5,67,1.55,1.85,7.004310345,3,355,2.366666667
14,28270,1981,28.7,13.35,26,70.5,1,1.1,8.075,20,68480,2.422355854
15,1105,1981,30.15,18.15,23.75,77.75,1.45,2.925,7.647222222,63,3980,3.601809955
16,24290,1981,28.825,13.1,13.5,74.75,0.65,1.075,9.225,34,84300,3.470564018
17,11410,1981,30.575,15.025,13.25,68.75,1.075,1.8,8.125,35,65945,5.779579316
1,2880,1982,30.125,13.85,23,76,0.375,1.4,7.875,4,10580,3.673611111
2,27650,1982,29.55,13.3,5.5,71,0.725,1.05,7.425,20,83063,3.004086799
4,40425,1982,29.5,14.2,17.75,74,0.5,1.025,7.55,10,218792,5.412294372
5,48815,1982,29.775,14.6,31.5,71,0.375,1.525,7.625,9,296792,6.079934446
6,21310,1982,28.375,11.6,10,67.75,0.3,1.2,6.724,37,74225,3.483106523
7,1815,1982,29.525,14.6,42.5,72,0.25,0.725,7.476724138,9,6338,3.492011019
8,4945,1982,31.275,13.525,40,71.25,0.85,1.525,6.8,7,32793,6.631547017
9,8305,1982,30.175,14.575,35.25,75.75,1.175,1.15,7.625833333,4,31976,3.850210716
10,8970,1982,29.725,14.45,5,60.25,0.9,1.375,7.15,19,20613,2.297993311
11,2285,1982,29.25,13.8,29.75,67.75,0.25,1.125,7.434482759,6,8577,3.753610503
12,8395,1982,31.275,12.25,32,68.5,0.6,1,7.249137931,14,22423,2.67099464
13,645,1982,29.925,16.5,52,66,1.425,1.75,7.004310345,3,1718,2.663565891
14,23765,1982,30,12.5,16,71,1.275,1,7.425,20,59610,2.508310541
15,1000,1982,29.7,17.8,10.25,75.75,0.725,2.675,7.647222222,63,3883,3.883
16,28495,1982,27.825,12.4,2,73.5,0.35,0.75,7.45,34,96357,3.381540621
17,11830,1982,29.35,13.55,12.25,70.5,0.975,1.6,7.95,35,59428,5.023499577
1,3095,1983,30.6,14.225,20.75,81.75,0.35,1.725,8.2,4,11411,3.686914378
2,27460,1983,29.475,13.975,14.5,72.75,0.8,1.35,7.75,20,84258,3.068390386
4,41535,1983,30.125,14.5,12.5,76,1.35,1.525,7.55,10,226715,5.458408571
5,48305,1983,30.45,15.4,8,68,0.4,1.7,7.875,9,288087,5.963916779
6,22185,1983,28.075,11.925,20.25,68,0.65,1.45,6.724,37,75804,3.416903313
7,1860,1983,29.45,14.5,6.25,73,0.35,0.95,7.476724138,9,6609,3.553225806
8,4200,1983,30.85,13.725,16.5,71,1.025,1.775,7.35,7,25155,5.989285714
9,7405,1983,30.05,13.975,11.25,80,1.575,2.05,7.8275,4,34859,4.707494936
10,8975,1983,29.25,13.85,6,68,0.775,1.65,7.225,19,20844,2.322451253
11,2465,1983,30.8,15.4,3,77,0.625,1.25,7.434482759,6,9797,3.974442191
12,9155,1983,29.475,13.15,10,70,0.8,1.45,7.249137931,14,24845,2.713817586
13,480,1983,30.8,16.275,34,66.75,1.85,1.75,7.004310345,3,1314,2.7375
14,28155,1983,28.85,13.05,14,73.75,1.5,1.6,8.025,20,165195,5.867341502
15,265,1983,30,16,48.5,73.5,0.65,3.225,7.647222222,63,634,2.39245283
16,21100,1983,27.875,12.65,15,80.75,0.625,1.175,7.75,34,75839,3.594265403
17,10610,1983,30.1,14.2,8,71,0.925,1.5,8.225,35,51942,4.895570217
1,3500,1984,30.65,14.125,1,82,0.35,1.2,8.125,4,13375,3.821428571
2,26345,1984,29.85,14.275,1.5,71.25,0.625,0.925,8.275,20,86830,3.295881571
4,41720,1984,31.425,14.4,2.75,75.25,0.975,1.125,7.55,10,238855,5.725191755
5,47475,1984,30.9,15.95,2.25,67.5,0.325,1.425,8.55,9,258555,5.446129542
6,23770,1984,28.8,12.425,2.25,65.25,0.75,0.875,6.724,37,81130,3.413125789
7,1825,1984,30.575,14.725,9.75,72.75,0.525,0.725,7.613793103,9,6715,3.679452055
8,5840,1984,31.25,14.175,12.5,69.5,0.7,1.35,7.025,7,33258,5.694863014
9,7775,1984,30.7,14.05,5.25,79.25,1.325,1.525,8.55,4,42835,5.509324759
10,9070,1984,29.175,14.35,11.5,69.5,0.85,1.6,7.225,19,21905,2.415104741
11,2675,1984,30.75,15.275,0,76.25,0.525,0.9,7.637931034,6,11340,4.239252336
12,8720,1984,29.7,13.025,0.5,67,0.4,0.925,7.460344828,14,23805,2.729931193
13,405,1984,31.125,16.6,9,78.75,0.9,1.15,6.868103448,3,1070,2.641975309
14,27270,1984,29.75,12.95,2.75,72,1.4,0.95,8.425,20,76565,2.8076641
15,260,1984,31.375,16.35,0.5,70.75,0.275,1.675,7.647222222,63,840,3.230769231
16,20040,1984,28.475,12.45,9.5,80.25,0.875,0.925,7.725,34,73010,3.643213573
17,11395,1984,30.15,14.275,24.5,72,0.925,1.675,8.45,35,55615,4.880649408
1,3130,1985,30.875,14.3,3.5,84,0.275,1.3,8.1,4,11915,3.806709265
2,26485,1985,30.125,14.225,2.75,70.5,0.575,1.025,8.35,20,87705,3.311497074
4,37660,1985,30.775,14.675,1.25,75,0.4,1.075,7.55,10,211495,5.61590547
5,45740,1985,31.55,16.1,8,68,0.325,1.4,8.15,9,248270,5.427853083
6,25900,1985,29,12.875,1.75,65.75,0.8,1.15,6.724,37,86730,3.348648649
7,1955,1985,30.175,14.775,0.75,74,0.6,0.775,8.05,9,7290,3.728900256
8,5650,1985,31.25,13.9,2.25,70.75,0.65,1.55,7.05,7,30755,5.443362832
9,8055,1985,31,14.175,5,76.75,0.8,1.575,8.15,4,40355,5.009931719
10,8770,1985,29.625,14.525,2.25,66.75,0.725,1.75,7.6,19,20735,2.364310148
11,2675,1985,30.575,15.625,4.25,78,0.45,1.325,7.925,6,11050,4.130841121
12,7810,1985,30.325,12.975,3.25,69.25,0.65,1.325,8.025,14,23685,3.032650448
13,425,1985,30.75,16.55,25,74.75,0.95,1.35,6.45,3,1155,2.717647059
14,25980,1985,30.2,13.175,7.5,73.75,1.375,1.125,8.275,20,75145,2.892417244
15,305,1985,30.475,16.925,24.75,72.25,0.325,2,7.647222222,63,985,3.229508197
16,21070,1985,28.575,12.625,5.25,79.25,0.6,0.875,7.95,34,68585,3.255102041
17,10745,1985,29.9,14.5,7,71,0.9,1.525,8.625,35,49375,4.59516054
1,2995,1986,31.375,15.1,70.5,85,0.2,1.525,8.025,4,11080,3.699499165
2,26195,1986,31.325,15.2,8.75,74.75,0.525,1.425,8.025,20,82250,3.139912197
4,37650,1986,30.825,15.65,34.25,77.25,0.7,1.05,7.55,10,210790,5.598671979
5,45500,1986,31.475,16.125,44.75,72.75,0.45,1.65,8.3,9,255505,5.615494505
6,26060,1986,29.725,13.85,19,68.25,0.85,1.475,6.724,37,86125,3.304873369
7,1975,1986,30.625,15.725,39.75,76.5,0.925,1.325,8.25,9,7440,3.767088608
8,5770,1986,31.125,15.3,41.5,75.25,0.85,1.6,6.875,7,30355,5.260831889
9,7195,1986,31.65,15.375,39.5,77.25,1.1,1.575,8.1,4,35175,4.888811675
10,8085,1986,30.4,15.5,25,74,0.95,1.75,7.7,19,19925,2.464440322
11,2665,1986,30.625,16.525,46.25,78.75,0.55,1.3,7.8,6,10210,3.831144465
12,7815,1986,30.625,13.225,7.75,76.5,0.75,1.425,7.925,14,24005,3.07165707
13,415,1986,31.1,16.65,14.25,76.5,0.85,1.325,6.675,3,1075,2.590361446
14,25885,1986,30.5,14.15,8.75,76.25,1.475,1.45,7.875,20,75530,2.917906123
15,330,1986,30.375,16,45.25,77.5,0.6,1.775,6.490740741,63,980,2.96969697
16,20610,1986,29.2,13.6,19.75,83.25,0.85,1.3,7.9,34,62015,3.008976225
17,9230,1986,30.575,14,34.75,72.75,1.275,1.65,8.475,35,33195,3.596424702
1,3250,1987,30.125,15.35,14.75,81.75,0.2,1.525,7.9,4,11990,3.689230769
2,26820,1987,30.525,14.95,12.75,75,0.625,1.15,7.8,20,86165,3.212714392
4,45355,1987,31.05,15.7,22,78.25,0.475,1.425,8.025,10,251655,5.548561349
5,60970,1987,31.05,16.3,21,71.75,0.375,1.65,8.075,9,349065,5.725192718
6,27030,1987,28.85,14.1,4.5,68.5,0.7,1.25,6.724,37,90375,3.343507214
7,1980,1987,30.15,15.825,17.75,77.75,1.05,1.525,8.125,9,7630,3.853535354
8,6170,1987,30.85,14.925,10.5,75,0.8,1.75,6.425,7,33415,5.415721232
9,7225,1987,30.725,15.75,26.25,78.25,0.675,1.925,7.825,4,42140,5.832525952
10,8155,1987,29.675,15.35,15.75,78.75,0.625,1.525,7.5,19,20915,2.564684243
11,2710,1987,29.975,16.775,24.75,79.75,0.45,1.375,8.25,6,11165,4.119926199
12,8050,1987,28.45,13.3,10.25,76.25,0.95,1.35,7.6,14,25185,3.128571429
13,430,1987,30.3,16.725,32.25,79.25,1.25,1.775,6.075,3,1095,2.546511628
14,25930,1987,29.975,14.1,10,76.25,1.175,1.425,7.65,20,76360,2.944851523
15,355,1987,30.175,16.55,33,75.5,0.55,1.95,6.95,63,1085,3.056338028
16,28400,1987,28.725,14.175,9.75,83.75,0.875,1.3,7.625,34,83475,2.939260563
